"year","month","scenario","measure","x","y","value"
2030,"aug","A1B","baseflow",-118.25,47.25,0.00400000018998981
2030,"aug","A1B","baseflow",-117.75,47.25,0.362190008163452
2030,"aug","A1B","baseflow",-117.25,47.25,0.244369998574257
2030,"aug","A1B","baseflow",-123.75,46.75,1.7021199464798
2030,"aug","A1B","baseflow",-123.25,46.75,0.683489978313446
2030,"aug","A1B","baseflow",-122.75,46.75,0.674539983272552
2030,"aug","A1B","baseflow",-122.25,46.75,1.66153001785278
2030,"aug","A1B","baseflow",-121.75,46.75,38.4560012817383
2030,"aug","A1B","baseflow",-121.25,46.75,18.542200088501
2030,"aug","A1B","baseflow",-120.75,46.75,0.421090006828308
2030,"aug","A1B","baseflow",-120.25,46.75,0
2030,"aug","A1B","baseflow",-119.75,46.75,0
2030,"aug","A1B","baseflow",-119.25,46.75,0
2030,"aug","A1B","baseflow",-118.75,46.75,9.99999974737875e-05
2030,"aug","A1B","baseflow",-118.25,46.75,0.0950300022959709
