Park Unit,Total Recreation Visits,Total Visitor Spending,Jobs,Labor Income,Value Added,Economic output,Spending per person
Fredericksburg & Spotsylvania NMP,969895,56708.4,787,30191.9,47145.6,75308.5,0.058468597
Friendship Hill NHS,37848,2212.9,38,1130,1773.1,3090.6,0.058468083
Gates Of The Arctic NP&PRES,10047,15844.8,205,7510.3,13788.6,22576.5,1.577067781
Gateway NRA,8651771,211482.4,2489,106267.4,160938.8,247963.2,0.024443828
Gauley River NRA,115888,5020.9,73,2012.3,3171.4,5593.1,0.043325452
General Grant NMEM,109151,6381.9,81,3759.3,5837.1,8839.6,0.058468544
George Rogers Clark NHP,126095,7372.6,124,2874.2,4874.5,9029.6,0.058468615
George Washington MEM PKWY,10323339,66926.9,1215,39500.7,58428.3,96249.5,0.006483067
George Washington Birthplace NM,129750,5909.9,79,3066.5,4790.8,7590.1,0.045548362
George Washington Carver NM,46397,849.3,12,340,537.5,967.4,0.018305063
Gettysburg NMP,1091320,70130.5,953,37013.6,58675.4,94048.7,0.064262086
Gila Cliff Dwellings NM,41519,2427.6,37,748.1,1325.7,2472.6,0.058469616
Glacier NP,2946681,250815.5,4337,117600.5,180278.7,339014.1,0.085117968
Glacier Bay NP&PRES,520171,112054.6,2013,60733.3,94327.2,161071.6,0.215418776
Glen Canyon NRA,3239525,235159.9,3346,88420.2,156951.8,272501.1,0.072590858
Golden Gate NRA,15638777,392112.3,4832,193074,284398.8,458213.3,0.02507308
Golden Spike NHS,60028,3430.9,56,1682.1,2644.3,4748.7,0.057154994
Governors Island NM,522860,30570.9,388,18068.2,27956.5,42272.2,0.058468615
Grand Canyon NP,5969811,648170.9,9779,334219.8,556633.8,904315.7,0.108574777
Grand Portage NM,95862,6174.6,87,1792.6,3286.4,6112.9,0.064411341
Grand Teton NP,3270075,597290.5,9365,274744.8,439366.4,779479.8,0.182653456
Grant Kohrs Ranch NHS,23176,1355.1,23,653,959.3,1807.5,0.058469969
Great Basin NP,144847,8362.4,122,2725.7,4863.8,8861.7,0.057732642
Great Sand Dunes NP&PRES,388307,23701,348,9194.6,16456.8,28938.7,0.061036757
Great Smoky Mountains NP,11312786,942731.8,14673,426908.8,745508.1,1277787.6,0.083333301
Greenbelt P,137899,8502.9,112,4478.6,7131.9,11320.8,0.061660346
Guadalupe Mountains NP,181838,11240.2,169,4228.5,7384.4,13510.2,0.061814362
Guilford Courthouse NMP,321796,18814.8,318,9305.6,14371,25454.2,0.058468098
Gulf Islands NS,4771308,206607.7,3000,90031.6,145918.8,251844.7,0.043302109
Hagerman Fossil Beds NM,25983,1519.2,24,724.5,1124,2030,0.058468999
Haleakala NP,1263559,81087.9,951,37094.3,62840.3,97639.8,0.06417421
Hamilton Grange NMEM,85348,4990.2,64,2935.1,4555.4,6884.6,0.058468857
Hampton NHS,34943,2043.1,28,1124.5,1776.2,2838.1,0.058469507
Harpers Ferry NHP,335691,16577.2,254,9661.6,15073.2,24156.6,0.049382319
Harry S Truman NHS,34616,2023.9,33,1073.7,1704.2,3002.7,0.058467183
Hawaii Volcanoes NP,1887580,159195.5,1917,74345.7,129139.8,199923.4,0.084338412
Herbert Hoover NHS,152383,8909.7,145,3689.4,6416.7,11407.1,0.058469121
Home Of Franklin D Roosevelt NHS,193272,11300.3,153,6053.7,9735.8,15155.2,0.058468376
Homestead NM,87755,2879,45,1014.5,1696.2,3150.6,0.032807247
