"Year","Epoch","Season","Scenario","Value"
2040,"Future","Spring","RCP2.6",0.672
2040,"Future","Spring","RCP4.5",0.71
2040,"Future","Spring","RCP6",0.136
2040,"Future","Spring","RCP8.5",2.16
2040,"Future","Summer","RCP2.6",2.85
2040,"Future","Summer","RCP4.5",1.602
2040,"Future","Summer","RCP6",2.126
2040,"Future","Summer","RCP8.5",1.602
2040,"Future","Winter","RCP2.6",0.514
2040,"Future","Winter","RCP4.5",2.348
2040,"Future","Winter","RCP6",-0.052
2040,"Future","Winter","RCP8.5",2.13
2045,"Future","Annual","RCP2.6",1.992
2045,"Future","Annual","RCP4.5",1.866
2045,"Future","Annual","RCP6",2.232
2045,"Future","Annual","RCP8.5",2.38
2045,"Future","Autumn","RCP2.6",2.072
2045,"Future","Autumn","RCP4.5",2.094
2045,"Future","Autumn","RCP6",1.804
2045,"Future","Autumn","RCP8.5",1.98
2045,"Future","Spring","RCP2.6",1.646
2045,"Future","Spring","RCP4.5",2.012
2045,"Future","Spring","RCP6",1.86
2045,"Future","Spring","RCP8.5",3.288
2045,"Future","Summer","RCP2.6",1.74
2045,"Future","Summer","RCP4.5",2.374
2045,"Future","Summer","RCP6",2.972
2045,"Future","Summer","RCP8.5",2.028
2045,"Future","Winter","RCP2.6",2.498
2045,"Future","Winter","RCP4.5",0.818
2045,"Future","Winter","RCP6",2.41
2045,"Future","Winter","RCP8.5",2.082
2050,"Future","Annual","RCP2.6",1.178
2050,"Future","Annual","RCP4.5",2.462
2050,"Future","Annual","RCP6",1.74
2050,"Future","Annual","RCP8.5",2.16
2050,"Future","Autumn","RCP2.6",0.704
2050,"Future","Autumn","RCP4.5",1.36
2050,"Future","Autumn","RCP6",2.32
2050,"Future","Autumn","RCP8.5",1.96
2050,"Future","Spring","RCP2.6",1.136
2050,"Future","Spring","RCP4.5",3.29
2050,"Future","Spring","RCP6",1.402
2050,"Future","Spring","RCP8.5",2.146
2050,"Future","Summer","RCP2.6",1.666
2050,"Future","Summer","RCP4.5",2.79
2050,"Future","Summer","RCP6",1.068
2050,"Future","Summer","RCP8.5",2.374
2050,"Future","Winter","RCP2.6",1.154
2050,"Future","Winter","RCP4.5",2.494
2050,"Future","Winter","RCP6",2.214
2050,"Future","Winter","RCP8.5",2.158
2055,"Future","Annual","RCP2.6",2.136
2055,"Future","Annual","RCP4.5",2.726
2055,"Future","Annual","RCP6",1.786
2055,"Future","Annual","RCP8.5",2.658
2055,"Future","Autumn","RCP2.6",1.972
2055,"Future","Autumn","RCP4.5",1.762
